title,desc,date,datetime,link,site
Sen. Scott Wiener wants to eliminate single-family zoning in SF,"Scott Wiener, the San Francisco-based California state senator hellbent on clearing away restrictive zoning across the state, failed to create great swaths of ...",,,news.google.com/./articles/CAIiEJVVwWHEzoc1ur9Jg581jWkqGQgEKhAIACoHCAow_JyCCzDd-v4CMIWD8wU?hl=en-US&gl=US&ceid=US%3Aen,
"Victims of NIMBYism, Unite",Didier Marti / Reuters,,,news.google.com/./articles/CAIiELwcyxCEd0nQmbSTQlei61gqFggEKg0IACoGCAowm_EEMKAiMJXamQY?hl=en-US&gl=US&ceid=US%3Aen,
"Faulconer 'Changed the Dialogue' on Housing, But Results Remain Elusive",Kevin Faulconer mostly made good on his pledge to seek supply-side reforms intended to make it cheaper and easier to build homes. Yet the outcome of ...,Dec 10,2020-12-10 17:53:39,news.google.com/./articles/CAIiEKEKDWwYrKD4bNP12tQ8NpAqGQgEKhAIACoHCAowj7yGCzCmqoQDMNOajAY?hl=en-US&gl=US&ceid=US%3Aen,Voice of San Diego
Opinion: Charlotte Can Create Affordable Housing With 'YIMBY' Movement,Yaël Ossowski shares thoughts on the lack of accessible housing in Charlotte and how to to combat the issue at hand with the YIMBY movement.,Sep 15,2020-09-15 07:00:00,news.google.com/./articles/CBMiNWh0dHBzOi8vcWNuZXJ2ZS5jb20vb3Bpbmlvbi15aW1ieS1hZmZvcmRhYmxlLWhvdXNpbmcv0gEA?hl=en-US&gl=US&ceid=US%3Aen,qcnerve.com
From 'Not in My Backyard' to 'Yes in My Backyard',A condominium building in San Francisco,,,news.google.com/./articles/CAIiEKgZp0ssZm0mGFKBZVFzmdcqFAgEKg0IACoGCAowm_EEMKAiMPpa?hl=en-US&gl=US&ceid=US%3Aen,
Planning Commission calls for city to address racism in housing policies – The San Francisco Examiner,"In the wake of George Floyd's killing by Minneapolis police, the San Francisco Planning Commission on Thursday directed staff to develop a strategy to address ...","Jun 11, 2020",2020-06-11 07:00:00,news.google.com/./articles/CBMiaWh0dHBzOi8vd3d3LnNmZXhhbWluZXIuY29tL25ld3MvcGxhbm5pbmctY29tbWlzc2lvbi1jYWxscy1mb3ItY2l0eS10by1hZGRyZXNzLXJhY2lzbS1pbi1ob3VzaW5nLXBvbGljaWVzL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,San Francisco Examiner
Should you buy a house in SF in 2020?,"With soaring home prices and an influx of well-to-do buyers throwing cash at sellers, it's hard for any low- to middle-class buyer to compete in a city that was ...",,,news.google.com/./articles/CAIiEFbC_aEVNru_klFibZsF0zoqGQgEKhAIACoHCAow_JyCCzDd-v4CMIWD8wU?hl=en-US&gl=US&ceid=US%3Aen,
"Inside Game: California YIMBY, Scott Wiener, and Big Tech's Troubling Housing Push","HOUSING POLITICS--Housing Is A Human Right has released today a special report about Big Tech, California YIMBY, and State Sen. Scott Wiener, all of ...",,,news.google.com/./articles/CBMihgFodHRwczovL2NpdHl3YXRjaGxhLmNvbS9pbmRleC5waHAvY3cvbG9zLWFuZ2VsZXMvMTkxNDQtaW5zaWRlLWdhbWUtY2FsaWZvcm5pYS15aW1ieS1zY290dC13aWVuZXItYW5kLWJpZy10ZWNoLXMtdHJvdWJsaW5nLWhvdXNpbmctcHVzaNIBAA?hl=en-US&gl=US&ceid=US%3Aen,
Protesters shout down Sen. Scott Wiener as he unveils changes to SB 50 in Oakland - San Francisco Business Times,A loud crowd and malfunctioning sound system made for a chaotic unveiling of state Sen. Scott Wiener's recent amendments to controversial housing bill SB 50.,,,news.google.com/./articles/CBMiamh0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9zYW5mcmFuY2lzY28vbmV3cy8yMDIwLzAxLzA3L3Byb3Rlc3RlcnMtc2hvdXQtZG93bi1zZW4tc2NvdHQtd2llbmVyLWFzLWhlLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen,
California's Yimbys | Dollars & Sense,Dollars and Sense magazine and textbooks provide analysis and opinion on economic policy and politics from a progressive political perspective.,,,news.google.com/./articles/CBMiO2h0dHA6Ly9kb2xsYXJzYW5kc2Vuc2Uub3JnL2FyY2hpdmVzLzIwMTgvMDkxOGJyb25zdGVpbi5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen,
Election 2018: SF voters just kicked the YIMBYS right in their backyards. Where do things go from here?,"Laura Foote sat alone in “the clubhouse,” the YIMBY movement's inner sanctum on Mission Street. Streamers of Pepto Bismol-pink Sonja Trauss fliers,",,,news.google.com/./articles/CBMihgFodHRwczovL21pc3Npb25sb2NhbC5vcmcvMjAxOC8xMS9lbGVjdGlvbi0yMDE4LXNmLXZvdGVycy1qdXN0LWtpY2tlZC10aGUteWltYnlzLXJpZ2h0LWluLXRoZWlyLWJhY2t5YXJkcy13aGVyZS1kby10aGluZ3MtZ28tZnJvbS1oZXJlL9IBhgFodHRwczovL21pc3Npb25sb2NhbC5vcmcvMjAxOC8xMS9lbGVjdGlvbi0yMDE4LXNmLXZvdGVycy1qdXN0LWtpY2tlZC10aGUteWltYnlzLXJpZ2h0LWluLXRoZWlyLWJhY2t5YXJkcy13aGVyZS1kby10aGluZ3MtZ28tZnJvbS1oZXJlLw?hl=en-US&gl=US&ceid=US%3Aen,
California YIMBY Sets High Goals For Housing In 2019,"Brian Hanlon is the president and CEO of California YIMBY, a statewide organization that advocates for solutions to the housing crisis. YIMBY stands for ""yes in ...",,,news.google.com/./articles/CBMiVGh0dHBzOi8vd3d3LmtwYnMub3JnL25ld3MvMjAxOC9kZWMvMDMvY2FsaWZvcm5pYS15aW1ieS1zZXRzLWhpZ2gtZ29hbHMtaG91c2luZy0yMDE5L9IBAA?hl=en-US&gl=US&ceid=US%3Aen,
Approaches to housing at heart of SF state senate race – The San Francisco Examiner,Incumbent state Sen. Scott Wiener has authored and backed dozens of bills to increase housing production.,Oct 10,2020-10-10 07:00:00,news.google.com/./articles/CBMiV2h0dHBzOi8vd3d3LnNmZXhhbWluZXIuY29tL25ld3MvYXBwcm9hY2hlcy10by1ob3VzaW5nLWF0LWhlYXJ0LW9mLXNmLXN0YXRlLXNlbmF0ZS1yYWNlL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,San Francisco Examiner
"The YIMBY movement (""Yes in my back yard"") fights for renters in stupidly expensive cities like San Francisco and New York","The San Francisco Bay Area has a serious housing shortage. It also has a daunting displacement problem. For Sonja Trauss, director of the San Francisco Bay ...",,,news.google.com/./articles/CBMiQmh0dHBzOi8vcXouY29tLzk5NDczMC95ZXMtaW4tbXktYmFja3lhcmQtdGhlLWV2b2x1dGlvbi1vZi1hLXlpbWJ5L9IBRmh0dHBzOi8vcXouY29tLzk5NDczMC95ZXMtaW4tbXktYmFja3lhcmQtdGhlLWV2b2x1dGlvbi1vZi1hLXlpbWJ5L2FtcC8?hl=en-US&gl=US&ceid=US%3Aen,
Planning Commission greenlights 1100 unit Balboa Reservoir project – The San Francisco Examiner,"The Balboa Reservoir project, expected to bring 1,100 units to a City-owned parking lot near City College of San Francisco, received key approvals Thursday.","May 28, 2020",2020-05-28 07:00:00,news.google.com/./articles/CBMiY2h0dHBzOi8vd3d3LnNmZXhhbWluZXIuY29tL25ld3MvcGxhbm5pbmctY29tbWlzc2lvbi1ncmVlbmxpZ2h0cy0xMTAwLXVuaXQtYmFsYm9hLXJlc2Vydm9pci1wcm9qZWN0L9IBAA?hl=en-US&gl=US&ceid=US%3Aen,San Francisco Examiner
Mayor Breed Nominates Controversial Owner of Manny's to SFMTA Board,"Cafe owner, activist, and lightning-rod for leftie quarrelling Manny Yekutiel is London Breed's new nominee for one of two empty spots on the SFMTA board.",Oct 5,2020-10-05 07:00:00,news.google.com/./articles/CBMiYGh0dHBzOi8vc2Zpc3QuY29tLzIwMjAvMTAvMDUvbWF5b3ItYnJlZWQtbm9taW5hdGVzLWNvbnRyb3ZlcnNpYWwtb3duZXItb2YtbWFubnlzLXRvLXNmbXRhLWJvYXJkL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,SFist
Advocates Furious about Jane Natoli Rejection – Streetsblog San Francisco,"At its regular meeting Tuesday, the San Francisco Board of Supervisors confirmed Sharon Lai, a former city planner, for the SFMTA board. But they rejected Jane ...","Aug 20, 2020",2020-08-20 07:00:00,news.google.com/./articles/CBMiVGh0dHBzOi8vc2Yuc3RyZWV0c2Jsb2cub3JnLzIwMjAvMDgvMjAvYWR2b2NhdGVzLWZ1cmlvdXMtYWJvdXQtamFuZS1uYXRvbGktcmVqZWN0aW9uL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,Streetsblog San Francisco
Flying Falafel approved for Castro location after sparking,"Local falafel purveyor Flying Falafel is officially set to open in the Castro, after winning approval for a change-of-use permit before the Planning Commission last ...",,,news.google.com/./articles/CBMicWh0dHBzOi8vaG9vZGxpbmUuY29tLzIwMTkvMTAvZmx5aW5nLWZhbGFmZWwtYXBwcm92ZWQtZm9yLWNhc3Ryby1sb2NhdGlvbi1hZnRlci1zcGFya2luZy1uZWlnaGJvcmhvb2QtY29udHJvdmVyc3kv0gEA?hl=en-US&gl=US&ceid=US%3Aen,
Tenant advocates take another try at expanding rent control with Prop. 21 – The San Francisco Examiner,Measure would allow city to impose new protections on properties 15 years or older.,Oct 27,2020-10-27 07:00:00,news.google.com/./articles/CBMiaWh0dHBzOi8vd3d3LnNmZXhhbWluZXIuY29tL25ld3MvdGVuYW50LWFkdm9jYXRlcy10YWtlLWFub3RoZXItdHJ5LWF0LWV4cGFuZGluZy1yZW50LWNvbnRyb2wtd2l0aC1wcm9wLTIxL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,San Francisco Examiner
Biden-Harris Win Opens Path to Federal Action on Housing,Good news is Biden has a great plan for federal action on housing. Bad news is continued obstructionism in a Republican-controlled Senate.,Nov 6,2020-11-06 08:00:00,news.google.com/./articles/CBMiXmh0dHBzOi8vd3d3LnNpZ2h0bGluZS5vcmcvMjAyMC8xMS8wNi9iaWRlbi1oYXJyaXMtd2luLW9wZW5zLXBhdGgtdG8tZmVkZXJhbC1hY3Rpb24tb24taG91c2luZy_SAQA?hl=en-US&gl=US&ceid=US%3Aen,Sightline Institute
Incumbent builds strong financial lead in crowded Palo Alto City Council race,"With two months to go until Election Day, Palo Alto City Councilman Greg Tanaka has amassed an overwhelming financial advantage over the rest of the field, ...","Sep 3, 2020",2020-09-03 07:00:00,news.google.com/./articles/CBMifGh0dHBzOi8vd3d3LnBhbG9hbHRvb25saW5lLmNvbS9uZXdzLzIwMjAvMDkvMDMvaW5jdW1iZW50LWJ1aWxkcy1zdHJvbmctZmluYW5jaWFsLWxlYWQtaW4tY3Jvd2RlZC1wYWxvLWFsdG8tY2l0eS1jb3VuY2lsLXJhY2XSAQA?hl=en-US&gl=US&ceid=US%3Aen,Palo Alto Online
